JKJFLGDP_02396	8c0ef3f8ed19fe5467c97cb9a1a87a50	245	TIGRFAM	TIGR02391	hypoth_ymh: TIGR02391 family protein	118	238	2.8E-29	T	30-01-2023	IPR012654	Conserved hypothetical protein CHP02391	-
JKJFLGDP_02396	8c0ef3f8ed19fe5467c97cb9a1a87a50	245	Pfam	PF09509	Protein of unknown function (Hypoth_ymh)	115	235	1.1E-31	T	30-01-2023	IPR012654	Conserved hypothetical protein CHP02391	-
JKJFLGDP_00467	21ce23c07cd41d4f8eb6384d0ee85b60	195	Pfam	PF01169	Uncharacterized protein family UPF0016	15	87	4.6E-17	T	30-01-2023	IPR001727	Gdt1 family	-
JKJFLGDP_00467	21ce23c07cd41d4f8eb6384d0ee85b60	195	Pfam	PF01169	Uncharacterized protein family UPF0016	112	185	1.8E-22	T	30-01-2023	IPR001727	Gdt1 family	-
JKJFLGDP_00467	21ce23c07cd41d4f8eb6384d0ee85b60	195	PANTHER	PTHR12608	TRANSMEMBRANE PROTEIN HTP-1 RELATED	14	188	1.3E-23	T	30-01-2023	IPR001727	Gdt1 family	-
JKJFLGDP_00444	54c411f7aed6f5bf4df7fcb2a17d3ca8	159	Pfam	PF04608	Phosphatidylglycerophosphatase A	51	147	4.6E-9	T	30-01-2023	IPR007686	YutG/PgpA domain	GO:0006629|GO:0008962
JKJFLGDP_00444	54c411f7aed6f5bf4df7fcb2a17d3ca8	159	Gene3D	G3DSA:1.10.3760.10	-	1	158	2.8E-39	T	30-01-2023	-	-
JKJFLGDP_00444	54c411f7aed6f5bf4df7fcb2a17d3ca8	159	TIGRFAM	TIGR03161	ribazole_CobZ: alpha-ribazole phosphatase CobZ	7	148	2.7E-47	T	30-01-2023	IPR017577	Alpha-ribazole phosphatase, CobZ	-
JKJFLGDP_00444	54c411f7aed6f5bf4df7fcb2a17d3ca8	159	PANTHER	PTHR35336	ADENOSYLCOBINAMIDE AMIDOHYDROLASE	4	130	7.2E-11	T	30-01-2023	-	-
JKJFLGDP_00444	54c411f7aed6f5bf4df7fcb2a17d3ca8	159	CDD	cd06971	PgpA	6	148	1.07447E-13	T	30-01-2023	IPR007686	YutG/PgpA domain	GO:0006629|GO:0008962
